

Ente;Liste/Gruppi;Voti;
ITALIA;DC;12520207;;
ITALIA;PCI;6704454;;
ITALIA;PSI;4206726;;
ITALIA;MSI;1407718;;
ITALIA;PSDI;1345447;;
ITALIA;PLI;1047081;;
ITALIA;P.MONARCHICO POP.;776919;;
ITALIA;P.NAZ.MONARCHICO;659997;;
ITALIA;PRI-P.RAD.;405782;;
ITALIA;COMUNITA';173227;;
ITALIA;PPST;135491;;
ITALIA;MOVIM.AUT.REG.-M.A.R.P.;70589;;
ITALIA;UV;30596;;
ITALIA;P.CAT.RIS.NAZ.CPI;15929;;
ITALIA;FED.AUT.SOCIALDEM.IT;9332;;
ITALIA;P.NAZIONALE LAVORO;7183;;
ITALIA;AUT.PIEMONT-MOV.VIL.;6955;;
ITALIA;UNIONE TRIESTINA;6661;;
ITALIA;FR.DELL'INDIPENDENZA;6305;;
ITALIA;MOV.PRO PENSIONATI;4987;;
ITALIA;FR.UNICO SOLDATO IT.;4172;;
ITALIA;CONC.EUROPEA DEMOC.;4133;;
ITALIA;MOV.INDIP.DIVORZISTI;3955;;
ITALIA;P.SOC.SICILIANO;3136;;
ITALIA;MOV.NAZIONALE IT.;1499;;
ITALIA;MOV.AZIONE-RINNOVAM.;752;;
ITALIA;MOV.ECONOMICO IT.SOC;571;;
ITALIA;P.IT.MUT.INV.GUERRA;465;;
