

Ente;Liste/Gruppi;Voti;
ITALIA;DC;11640265;;
ITALIA;PDS;6321084;;
ITALIA;PSI;5343930;;
ITALIA;LEGA LOMBARDA;3396012;;
ITALIA;RIFONDAZIONE COMUNISTA;2204641;;
ITALIA;MSI-DN;2107037;;
ITALIA;PRI;1722465;;
ITALIA;PLI;1121264;;
ITALIA;FEDERAZIONE DEI VERDI;1093995;;
ITALIA;PSDI;1064647;;
ITALIA;LA RETE-MOV.DEM.;730171;;
ITALIA;LISTA PANNELLA;485694;;
ITALIA;LISTA REFERENDUM;319812;;
ITALIA;PARTITO PENSIONATI;246379;;
ITALIA;ALTRE LEGHE;220559;;
ITALIA;PPST;198447;;
ITALIA;CPA;192799;;
ITALIA;FEDERALISMO-PENS.UV.;154621;;
ITALIA;LEGA AUT.VENETA;152301;;
ITALIA;LA LEGA CAS-PENS.;133717;;
ITALIA;LISTE AUTONOMISTE;94583;;
ITALIA;ALTRE LISTE;59396;;
ITALIA;LEGA D'AZIONE MERIDIONALE;53759;;
ITALIA;MOV.VEN.REG.AUT;49035;;
ITALIA;VERDI FEDERALISTI;42647;;
ITALIA;L.VALLE D'AOSTA;41404;;
ITALIA;GRUPPO DOLCHI-FOSSON;30724;;
ITALIA;VERDI-VERDI;25887;;
