

Ente;Liste/Gruppi;Voti;
ITALIA;FORZA ITALIA;8136135;;
ITALIA;PDS;7881646;;
ITALIA;ALLEANZA NAZIONALE;5214133;;
ITALIA;P.POPOLARE ITALIANO;4287172;;
ITALIA;LEGA NORD;3235248;;
ITALIA;RIFONDAZIONE COMUNISTA;2343946;;
ITALIA;PATTO SEGNI;1811814;;
ITALIA;LISTA PANNELLA;1359283;;
ITALIA;FEDERAZIONE DEI VERDI;1047268;;
ITALIA;PSI;849429;;
ITALIA;LA RETE-MOV.DEM.;719841;;
ITALIA;ALLEANZA DEMOCRATICA;456114;;
ITALIA;SVP;231842;;
ITALIA;SOCIALDEMOCRAZIA;179495;;
ITALIA;PROGRAMMA ITALIA;151328;;
ITALIA;LEGA ALPINA LUMBARDA;136782;;
ITALIA;LEGA AUT.VENETA;103764;;
ITALIA;LEGA D'AZIONE MERIDIONALE;59873;;
ITALIA;UN.POP.;36343;;
ITALIA;VERDI-VERDI;32832;;
ITALIA;SOLID.OCCUPAZ.SVILUP;32653;;
ITALIA;PART.LEGGE NATURALE;24554;;
ITALIA;PARTIDU INDIP.;24043;;
ITALIA;UNIONE DEM.ITALIANA;20227;;
ITALIA;UN.CRIST.RIF.;15844;;
ITALIA;PATTO SOLIDARIETA';15671;;
ITALIA;LG.ANGELA BOSSI;15234;;
ITALIA;LEGA PER IL PIEMONTE;15118;;
ITALIA;ALL.MERIDIONALE;14993;;
ITALIA;ADA;12898;;
ITALIA;ALL.POP.;12827;;
ITALIA;L'ARCA;12053;;
ITALIA;RIN.SALENTINA;11479;;
ITALIA;INIZIATIVA POP.DEM.;11247;;
ITALIA;MOV.CRIST.DEM.;11036;;
ITALIA;SOLID.PROGRESSO;10310;;
ITALIA;INSIEME PER SVILUPPO;10282;;
ITALIA;LISTA FRANCO GRECO;10241;;
ITALIA;RINASCITA SOCIALISTA;10070;;
ITALIA;DEM.E SOLIDARIETA';9546;;
ITALIA;UNIONE MEDITERRANEA;9079;;
ITALIA;MOV.MERIDIONALE;8700;;
ITALIA;DEMOCRAZIA SICILIANA;8584;;
ITALIA;MOV.CATTOLICO DEM.;8348;;
ITALIA;RIFORMISTI IRPINI;8338;;
ITALIA;P.DEM.;7675;;
ITALIA;UNIONE POP.;7673;;
ITALIA;ALL.MUNICIPALITA';7432;;
ITALIA;UTOPIA;6951;;
ITALIA;MOV.REP.;6616;;
ITALIA;MOV.CRIST.VERITAS;6404;;
ITALIA;RINNOVAMENTO;6000;;
ITALIA;RIN.DEMOCRATICO;5600;;
ITALIA;CENTRO DEMOCRATICO;4911;;
ITALIA;LIBERAL DEM.EUROPEI;4633;;
ITALIA;INSIEME PER CAMBIARE;4588;;
ITALIA;P.POP.PROGRESSISTA;4554;;
ITALIA;MEDITERRANEO;3867;;
ITALIA;MOV.LIBERALDEM.SOC.;3429;;
ITALIA;MOV.POP.CRIST.;3390;;
ITALIA;ALL.PROGRAMMA;3388;;
ITALIA;MOV.EUR.LIB.CRIST.;2745;;
ITALIA;ALL.PER I CASTELLI;2737;;
ITALIA;AUTONOMIA SOCIALISTA;2720;;
ITALIA;IDEA CITTA';2695;;
ITALIA;CENTRO CRIST.DEM.;2646;;
ITALIA;DEM.E RINNOVAMENTO;2576;;
