

Ente;Liste/Gruppi;Voti;
ITALIA;DC;9088494;;
ITALIA;PDS;5682888;;
ITALIA;PSI;4523873;;
ITALIA;LEGA LOMBARDA;2732461;;
ITALIA;RIFONDAZIONE COMUNISTA;2171950;;
ITALIA;MSI-DN;2171215;;
ITALIA;PRI;1565142;;
ITALIA;FEDERAZIONE DEI VERDI;1027303;;
ITALIA;PLI;939159;;
ITALIA;PSDI;853895;;
ITALIA;LISTA REFERENDUM;332318;;
ITALIA;LA RETE-MOV.DEM.;239868;;
ITALIA;PARTITO PENSIONATI;215889;;
ITALIA;FEDERALISMO-PENS.UV.;174713;;
ITALIA;PPST;168113;;
ITALIA;LISTA PANNELLA;166708;;
ITALIA;PER LA CALABRIA;143976;;
ITALIA;LEGA AUT.VENETA;142446;;
ITALIA;ALTRE LEGHE;141178;;
ITALIA;LA LEGA CAS-PENS.;134327;;
ITALIA;LEGA ALPINA LUMBARDA;119153;;
ITALIA;CPA;116395;;
ITALIA;LISTE AUTONOMISTE;95687;;
ITALIA;ALTRI GRUPPI;63461;;
ITALIA;MOV.VEN.REG.AUT;50938;;
ITALIA;LEGA D'AZIONE MERIDIONALE;49769;;
ITALIA;LISTA PER IL MOLISE;48352;;
ITALIA;VERDI FEDERALISTI;47051;;
ITALIA;L.VALLE D'AOSTA;34150;;
ITALIA;GRUPPO DOLCHI-FOSSON;31175;;
ITALIA;VERDI-VERDI;29217;;
ITALIA;LEGA DELLE LEGHE;24051;;
ITALIA;MOV.POL.DIF.AUTOMOB.;3266;;
